"ts_created","items","store_id","payment_R$","type","store_type"
2022-11-12 13:10:13.462 -0300,"[{""name"": ""ALMOCO KG"", ""extra"": [], ""value"": ""5580"", ""amount"": 1}, {""name"": ""ALMOCO KG"", ""extra"": [], ""value"": ""4545"", ""amount"": 1}, {""name"": ""REFRI LITRO"", ""extra"": [], ""value"": ""800"", ""amount"": 1.0}]",6,109,t,Comanda
2022-11-12 14:08:01.381 -0300,"[{""name"": ""SUCO LARANJA LITRO"", ""extra"": [], ""value"": ""1000"", ""amount"": 1.0}]",6,10,t,Comanda
2022-11-12 14:08:15.910 -0300,"[{""name"": ""SUCO LARANJA LITRO"", ""extra"": [], ""value"": ""1000"", ""amount"": 1.0}]",6,10,t,Comanda
2022-11-12 14:08:32.244 -0300,"[{""name"": ""ALMOCO KG"", ""extra"": [], ""value"": ""6209"", ""amount"": 1}]",6,62,t,Comanda
2022-11-14 13:36:30.216 -0300,"[{""name"": ""ALMOCO KG"", ""extra"": [], ""value"": ""3975"", ""amount"": 1}, {""name"": ""ALMOCO KG"", ""extra"": [], ""value"": ""3675"", ""amount"": 1}, {""name"": ""SUCO LARANJA JARRA "", ""extra"": [], ""value"": ""800"", ""amount"": 1.0}]",6,84,t,Comanda
2022-11-14 13:38:03.880 -0300,"[{""name"": ""ALMOCO KG"", ""extra"": [], ""value"": ""3975"", ""amount"": 1}, {""name"": ""ALMOCO KG"", ""extra"": [], ""value"": ""3675"", ""amount"": 1}, {""name"": ""SUCO LARANJA JARRA "", ""extra"": [], ""value"": ""800"", ""amount"": 1.0}]",6,84,t,Comanda
2022-11-14 15:15:05.750 -0300,"[{""name"": ""ALMOCO KG"", ""extra"": [], ""value"": ""4890"", ""amount"": 1}, {""name"": ""ALMOCO KG"", ""extra"": [], ""value"": ""4305"", ""amount"": 1}]",6,91,t,Comanda
2022-11-14 15:15:06.909 -0300,"[{""name"": ""ALMOCO KG"", ""extra"": [], ""value"": ""4890"", ""amount"": 1}, {""name"": ""ALMOCO KG"", ""extra"": [], ""value"": ""4305"", ""amount"": 1}]",6,91,t,Comanda
2022-11-19 14:58:47.042 -0300,"[{""name"": ""ALMOCO KG"", ""extra"": [], ""value"": ""4200"", ""amount"": 1}, {""name"": ""REFRI LATA"", ""extra"": [], ""value"": ""500"", ""amount"": 1.0}]",6,47,t,Comanda
2022-11-22 12:32:53.011 -0300,"[{""name"": ""ALMOCO KG"", ""extra"": [], ""value"": ""2865"", ""amount"": 1}, {""name"": ""ALMOCO KG"", ""extra"": [], ""value"": ""3735"", ""amount"": 1}, {""name"": ""REFRI LITRO"", ""extra"": [], ""value"": ""800"", ""amount"": 1.0}]",6,74,t,Comanda
2022-11-23 14:49:06.378 -0300,"[{""name"": ""ALMOCO KG"", ""extra"": [], ""value"": ""5145"", ""amount"": 1}, {""name"": ""ALMOCO KG"", ""extra"": [], ""value"": ""6240"", ""amount"": 1}, {""name"": ""REFRI LITRO"", ""extra"": [], ""value"": ""800"", ""amount"": 1.0}]",6,121,t,Comanda
2022-11-25 12:02:46.495 -0300,"[{""name"": ""ALMOCO KG"", ""extra"": [], ""value"": ""3045"", ""amount"": 1}, {""name"": ""ALMOCO KG"", ""extra"": [], ""value"": ""5250"", ""amount"": 1}, {""name"": ""REFRI LITRO"", ""extra"": [], ""value"": ""800"", ""amount"": 1.0}]",6,90,t,Comanda
2022-11-25 12:18:17.467 -0300,"[{""name"": ""ALMOCO KG"", ""extra"": [], ""value"": ""3030"", ""amount"": 1}, {""name"": ""ALMOCO KG"", ""extra"": [], ""value"": ""3870"", ""amount"": 1}, {""name"": ""ALMOCO KG"", ""extra"": [], ""value"": ""4860"", ""amount"": 1}, {""name"": ""REFRI LITRO"", ""extra"": [], ""value"": ""800"", ""amount"": 1.0}]",6,125,t,Comanda
2022-11-25 12:26:20.309 -0300,"[{""name"": ""ALMOCO KG"", ""extra"": [], ""value"": ""2010"", ""amount"": 1}, {""name"": ""SUCO FRUTAS 400 ML"", ""extra"": [], ""value"": ""500"", ""amount"": 1.0}]",6,25,t,Comanda
2022-11-26 12:16:21.987 -0300,"[{""name"": ""ALMOCO KG"", ""extra"": [], ""value"": ""2325"", ""amount"": 1}, {""name"": ""ALMOCO KG"", ""extra"": [], ""value"": ""3000"", ""amount"": 1}, {""name"": ""SUCO LARANJA JARRA "", ""extra"": [], ""value"": ""800"", ""amount"": 1.0}]",6,61,t,Comanda
2022-11-30 12:24:27.945 -0300,"[{""name"": ""ALMOCO KG"", ""extra"": [], ""value"": ""3855"", ""amount"": 1}, {""name"": ""CERVEJA DEVASSA LATA"", ""extra"": [], ""value"": ""600"", ""amount"": 1.0}, {""name"": ""CERVEJA DEVASSA GARRAFA"", ""extra"": [], ""value"": ""1000"", ""amount"": 1.0}, {""name"": ""SOBREMESA KG"", ""extra"": [], ""value"": ""450"", ""amount"": 1}]",6,59,t,Comanda
2022-11-30 12:25:59.094 -0300,"[{""name"": ""ALMOCO KG"", ""extra"": [], ""value"": ""3855"", ""amount"": 1}, {""name"": ""CERVEJA DEVASSA LATA"", ""extra"": [], ""value"": ""600"", ""amount"": 1.0}, {""name"": ""CERVEJA DEVASSA GARRAFA"", ""extra"": [], ""value"": ""1000"", ""amount"": 1.0}, {""name"": ""SOBREMESA KG"", ""extra"": [], ""value"": ""450"", ""amount"": 1}]",6,59,t,Comanda
2022-11-30 13:32:35.143 -0300,"[{""name"": ""ALMOCO KG"", ""extra"": [], ""value"": ""3585"", ""amount"": 1}]",6,35,t,Comanda
2022-11-30 13:32:41.169 -0300,"[{""name"": ""ALMOCO KG"", ""extra"": [], ""value"": ""3585"", ""amount"": 1}]",6,35,t,Comanda
2022-12-01 12:04:07.650 -0300,"[{""name"": ""ALMOCO KG"", ""extra"": [], ""value"": ""2265"", ""amount"": 1}, {""name"": ""RERI MINI"", ""extra"": [], ""value"": ""400"", ""amount"": 1.0}]",6,26,t,Comanda
2022-12-01 13:30:13.838 -0300,"[{""name"": ""ALMOCO KG"", ""extra"": [], ""value"": ""5445"", ""amount"": 1}, {""name"": ""ALMOCO KG"", ""extra"": [], ""value"": ""6825"", ""amount"": 1}, {""name"": ""REFRI LITRO"", ""extra"": [], ""value"": ""800"", ""amount"": 1.0}]",6,130,t,Comanda
2022-12-01 13:42:08.479 -0300,"[{""name"": ""ALMOCO KG"", ""extra"": [], ""value"": ""2775"", ""amount"": 1}, {""name"": ""ALMOCO KG"", ""extra"": [], ""value"": ""2370"", ""amount"": 1}, {""name"": ""REFRI LITRO"", ""extra"": [], ""value"": ""800"", ""amount"": 1.0}]",6,59,t,Comanda
2022-12-01 14:42:45.940 -0300,"[{""name"": ""ALMOCO KG"", ""extra"": [], ""value"": ""4274"", ""amount"": 1}, {""name"": ""REFRI KS"", ""extra"": [], ""value"": ""450"", ""amount"": 1.0}]",6,47,t,Comanda
2022-12-03 12:29:01.438 -0300,"[{""name"": ""ALMOCO KG"", ""extra"": [], ""value"": ""2865"", ""amount"": 1}, {""name"": ""ALMOCO KG"", ""extra"": [], ""value"": ""1695"", ""amount"": 1}, {""name"": ""SUCO FRUTAS JARRA "", ""extra"": [], ""value"": ""1000"", ""amount"": 1.0}]",6,55,t,Comanda
2022-12-03 12:52:58.511 -0300,"[{""name"": ""ALMOCO KG"", ""extra"": [], ""value"": ""2865"", ""amount"": 1}, {""name"": ""ALMOCO KG"", ""extra"": [], ""value"": ""4290"", ""amount"": 1}, {""name"": ""ALMOCO KG"", ""extra"": [], ""value"": ""3405"", ""amount"": 1}, {""name"": ""ALMOCO KG"", ""extra"": [], ""value"": ""3915"", ""amount"": 1}, {""name"": ""REFRI LATA"", ""extra"": [], ""value"": ""1000"", ""amount"": 2.0}]",6,154,t,Comanda
2022-12-03 13:03:38.040 -0300,"[{""name"": ""ALMOCO KG"", ""extra"": [], ""value"": ""3060"", ""amount"": 1}, {""name"": ""ALMOCO KG"", ""extra"": [], ""value"": ""3660"", ""amount"": 1}, {""name"": ""REFRI LITRO"", ""extra"": [], ""value"": ""800"", ""amount"": 1.0}]",6,75,t,Comanda
2022-12-03 14:11:08.113 -0300,"[{""name"": ""ALMOCO KG"", ""extra"": [], ""value"": ""4245"", ""amount"": 1}, {""name"": ""ALMOCO KG"", ""extra"": [], ""value"": ""3720"", ""amount"": 1}, {""name"": ""SUCO LARANJA JARRA "", ""extra"": [], ""value"": ""800"", ""amount"": 1.0}]",6,87,t,Comanda
2022-12-03 14:11:35.162 -0300,"[{""name"": ""ALMOCO KG"", ""extra"": [], ""value"": ""4245"", ""amount"": 1}, {""name"": ""ALMOCO KG"", ""extra"": [], ""value"": ""3720"", ""amount"": 1}, {""name"": ""SUCO LARANJA JARRA "", ""extra"": [], ""value"": ""800"", ""amount"": 1.0}]",6,87,t,Comanda
2022-12-05 12:15:31.517 -0300,"[{""name"": ""ALMOCO KG"", ""extra"": [], ""value"": ""7184"", ""amount"": 1}]",6,71,t,Comanda
2022-12-05 12:46:32.866 -0300,"[{""name"": ""ALMOCO KG"", ""extra"": [], ""value"": ""2760"", ""amount"": 1}, {""name"": ""RERI MINI"", ""extra"": [], ""value"": ""400"", ""amount"": 1.0}]",6,31,t,Comanda
2022-12-05 12:46:55.126 -0300,"[{""name"": ""ALMOCO KG"", ""extra"": [], ""value"": ""2760"", ""amount"": 1}, {""name"": ""RERI MINI"", ""extra"": [], ""value"": ""400"", ""amount"": 1.0}]",6,31,t,Comanda
2022-12-05 12:48:29.716 -0300,"[{""name"": ""ALMOCO KG"", ""extra"": [], ""value"": ""2760"", ""amount"": 1}, {""name"": ""RERI MINI"", ""extra"": [], ""value"": ""400"", ""amount"": 1.0}]",6,31,t,Comanda
2022-12-05 12:56:56.041 -0300,"[{""name"": ""ALMOCO KG"", ""extra"": [], ""value"": ""5535"", ""amount"": 1}, {""name"": ""REFRI LATA"", ""extra"": [], ""value"": ""500"", ""amount"": 1.0}]",6,60,t,Comanda
2022-12-05 13:00:57.104 -0300,"[{""name"": ""ALMOCO KG"", ""extra"": [], ""value"": ""2910"", ""amount"": 1}, {""name"": ""ALMOCO KG"", ""extra"": [], ""value"": ""4530"", ""amount"": 1}, {""name"": ""AGUA COM GAS"", ""extra"": [], ""value"": ""400"", ""amount"": 1.0}]",6,78,t,Comanda
